<<<<<<< HEAD
Rating,Review
5 stars,"Lot of appreciation goes to veena mam and kulkarni mam..these women are the gem of this hospital. They are excellent in their services. Hospital is good, clean and Maintained...the staff is cooperative , friendly and helpful. Affordable hospital with good facilities. Patient gets full attention , no negligence is done here. "
1 star,Staff is so undisciplined and irrespective....specially that Kulkarni nurse....she is money minded...she really don't have sense to behave..a big no to this hospital 
5 stars,Excellent Hospitality and patience of all staff members.. Wonderful care of each patient and satisfactory service. 
1 star,"Very bad experience, money minded staff and specially Dr Ajinkya Chavan may god bless him for his illegal work and tocher "
5 stars,"You will get Excellent hospitality at this hospital. All the staffs are very cooperative and supportive.
Affordable hospital with all the facilities available at one place.
Patient gets full attention, no negligence is done here. "
5 stars,Good treatment & facility of hospital. Thank to all hospital team who care of my Father & recovered him from covid-19 in month of May 2021. All staff behavior is good & taking so much care of patient. Thank to Dr. Chavan Family. 
5 stars,"Very nice treatment and cooperative nursing staff all life care facilities are available on affordable cost.
Special Thanks to Dr. Ajinkya Chavan sir  & hospital staff. "
5 stars,This Hospital is very good doctors and nursing staff so co oprative so thanks to all member of hospital I wish you very bright future Chavan Hospital thanks you 
=======
Rating,Review
5 stars,"Lot of appreciation goes to veena mam and kulkarni mam..these women are the gem of this hospital. They are excellent in their services. Hospital is good, clean and Maintained...the staff is cooperative , friendly and helpful. Affordable hospital with good facilities. Patient gets full attention , no negligence is done here. "
1 star,Staff is so undisciplined and irrespective....specially that Kulkarni nurse....she is money minded...she really don't have sense to behave..a big no to this hospital 
5 stars,Excellent Hospitality and patience of all staff members.. Wonderful care of each patient and satisfactory service. 
1 star,"Very bad experience, money minded staff and specially Dr Ajinkya Chavan may god bless him for his illegal work and tocher "
5 stars,"You will get Excellent hospitality at this hospital. All the staffs are very cooperative and supportive.
Affordable hospital with all the facilities available at one place.
Patient gets full attention, no negligence is done here. "
5 stars,Good treatment & facility of hospital. Thank to all hospital team who care of my Father & recovered him from covid-19 in month of May 2021. All staff behavior is good & taking so much care of patient. Thank to Dr. Chavan Family. 
5 stars,"Very nice treatment and cooperative nursing staff all life care facilities are available on affordable cost.
Special Thanks to Dr. Ajinkya Chavan sir  & hospital staff. "
5 stars,This Hospital is very good doctors and nursing staff so co oprative so thanks to all member of hospital I wish you very bright future Chavan Hospital thanks you 
>>>>>>> dadef325638232dc406ca53b7d8b40f838d2a09f
1 star,"Very bad service at this hospital...staff is very rude and not coprative...there voice is too much loud while talking with patients and relatives... especially that ""vaishali mavshi""..her behaviour really disappoints me...don't be too much rude...
Doctor's are good and caring also but staff is not proper they really behaves very badly ..
Worst experience I could ever have with staff service...
Dear doctor's plz change your staff or else tell them to be polite with patients and relatives....
<<<<<<< HEAD
Very very worst experience I could have in my life.. "
5 stars,"Very nice hospital.Good treatment & facility of hospital. All staff behavior is good & taking so much care of patient.
Thank you so much "
5 stars,Thank you for best treatment. My wife had an accident with head injury. Chavan hospital saved her life. Thank you sir. 
=======
Very very worst experience I could have in my life.. "
5 stars,"Very nice hospital.Good treatment & facility of hospital. All staff behavior is good & taking so much care of patient.
Thank you so much "
5 stars,Thank you for best treatment. My wife had an accident with head injury. Chavan hospital saved her life. Thank you sir. 
>>>>>>> dadef325638232dc406ca53b7d8b40f838d2a09f
1 star,"Third Class Hospital. No one should go in the Chavan Hospital Nr. Navle Bridge. Very  Bad service.

If You really want to improve your service at the time of non-admission of Pation.  Please give either Cash refund and bill or Medicine.  I have not received any of them. I have requested lady doctor to give medicine, but she has not agreeed . In that case I have paid the AMT. But we have not received medicine at the time of non-admission.
Just think over it.  Money is Money
It's humble request that don't cheat with anybody....
Thanks  .

Hello.  Doctor Sir,

If you really want to improve your service give me my cash as refund purpose. Dt. 22/03/2021, You have taken 800 /- from me without the bill for medicine purpose only & I have decided not to admit in same hospital. That time you have denied to give the medicine. If not medicine you could have provided me my cash itself.

If you really want to improve your service give me my cash back. RS 800 /-

Thanks & Regards,

<<<<<<< HEAD
Uday Deshmukh "
5 stars,"Best hospital in city
Currently Best for Covid not so Expensive, Experience staff,  friendly Atmosphere and Expert Faculty "
1 star,"Very much disgusting hospital....
Not co-operative and very rude behaviour of mavshis "
1 star,Staff don't know about which docter in opd 
4 stars,Currently a covid care centre. 24thmay 2021 
5 stars,Good service 
3 stars,Nice experience 
5 stars,"Our patient was admitted at Mangala Dandge Chavan Hospital when he was admitted in ICU his condition was a bit serious but the doctor and all the staff handled the situation very well and soon stabilized him properly.. and he was given general word soon after a day. Shifted in. We have brought the patient here for second admission. Everyone is cooperating very well
Dr. Purva and Dhanashree Sister were very helpful, after seeing them I felt like a part of our family and they took care of our patients so well. "
5 stars,"My grandmother was admitted to Gangu Shinde Chavan Hospital for treatment. The doctors at the hospital started treatment immediately and my grandmother's health improved quickly. The staff there were also very prompt and attentive. Patient was interrogated with indifference. And specialists doctor was also calling for treatment.
And even in Beela, no extra charges were applied for no reason, my grandmother received good and excellent treatment in Chavan Hospital in budget.
So I will suggest others to seek treatment at Chavan Hospital. "
