<<<<<<< HEAD
Rating,Review
=======
Rating,Review
>>>>>>> dadef325638232dc406ca53b7d8b40f838d2a09f
4 stars,"I recently had to visit the hospital for a minor procedure, and overall, my experience was fantastic. The staff was incredibly friendly and accommodating, and the facilities were clean and well-maintained. I felt well taken care of and confident in the care I was receiving.

However, the one downside to my experience was the parking situation. Finding a spot was difficult, and the lot was quite far from the entrance. This added an extra level of stress to an already nerve-wracking situation.

<<<<<<< HEAD
Despite this, I would still highly recommend this hospital for its exceptional staff and top-notch care. Just be prepared to do a bit of walking or consider other transportation options. "
2 stars,Reception manages appointments based on no criteria. I was waiting for doctor for 1hr 15mins. Doctor comes in and  they just let go someone came after 1 hr with no explaination. 
=======
Despite this, I would still highly recommend this hospital for its exceptional staff and top-notch care. Just be prepared to do a bit of walking or consider other transportation options. "
2 stars,Reception manages appointments based on no criteria. I was waiting for doctor for 1hr 15mins. Doctor comes in and  they just let go someone came after 1 hr with no explaination. 
>>>>>>> dadef325638232dc406ca53b7d8b40f838d2a09f
1 star,"I have a very bad Experience about OPD.
I was waiting with my 8 year old kid from 9.15 pm.
I was only patient that time and doctor was on round. During his return hospital persons added before me, case papers of their known persons who came after me. No one from them was emergency case. And my daughter was having 100+ fever.
Shame on thease people, who don't have hearts.
<<<<<<< HEAD
Request to Jagtap hospital management, take corrective action on this. "
4 stars,"Good hospital
Great facilities and hospitality "
5 stars,Very accurate diagnosis and treatment for all our family members since several years. Dr Rajeev Jagtap saheb is one of the best doctors ever seen. 
1 star,"Charges are too excessive, charging for both icu and private room even they have transferred the patient from icu to private room. The doctors in ICU are also not much experienced. Poor services. Avoid it as much as possible "
5 stars,Shown to Dr. Punarvasu Japtap for ortho problem. Very nice and friendly. He understood the problem and treated it. 
5 stars,Best hospital on sinhgad Road. Doctors and all staff is excellent and caring. 
5 stars,Excellent..... A checkup at all times. He is a good person and every day smiles on his face 
5 stars,"Best Service,
Dr is so calm and supportive
And all the staff is so cooperative "
=======
Request to Jagtap hospital management, take corrective action on this. "
4 stars,"Good hospital
Great facilities and hospitality "
5 stars,Very accurate diagnosis and treatment for all our family members since several years. Dr Rajeev Jagtap saheb is one of the best doctors ever seen. 
1 star,"Charges are too excessive, charging for both icu and private room even they have transferred the patient from icu to private room. The doctors in ICU are also not much experienced. Poor services. Avoid it as much as possible "
5 stars,Shown to Dr. Punarvasu Japtap for ortho problem. Very nice and friendly. He understood the problem and treated it. 
5 stars,Best hospital on sinhgad Road. Doctors and all staff is excellent and caring. 
5 stars,Excellent..... A checkup at all times. He is a good person and every day smiles on his face 
5 stars,"Best Service,
Dr is so calm and supportive
And all the staff is so cooperative "
>>>>>>> dadef325638232dc406ca53b7d8b40f838d2a09f
5 stars,"Dr.Jagtap is our family doctor for several years now he is expert in everything. Best family doctor.
Best treatment given.
Doctors are very attentive and give best treatment possible to each patient
Nurses are caring
Adminstration department is also good
<<<<<<< HEAD
Overall the best hospital for all type of treatment. "
5 stars,Jagtap hospital has been providing excellent and essential healthcare for over 35 years now. The new and renovated hospital is extremely well run with both the doctors and staff being very courteous and accomodating. They have clean and hygenic rooms for all types of patients and state of the art operation theatres for various specialties. I have personally known dr. Prajakta jagtap for over 15 years now and you won't find a more capable compassionate and ethical doctor to treat you. The jagtap family have catered to the community by providing excellent healthcare for over 40 years now. The hospital lists in oas one of the best in the city with the top radiologist in the city working there. It's a family run hospital of the highest standard. 
5 stars,"Dr. Rajeev jagtap has been our family physician for over 35 years.He is an expert in everything.Best family doctor ever. We are treated like family. You are not just a number. Amazing staff, they do anything and everything to help you and get you the best care. I'm very thankful to the doctor. "
=======
Overall the best hospital for all type of treatment. "
5 stars,Jagtap hospital has been providing excellent and essential healthcare for over 35 years now. The new and renovated hospital is extremely well run with both the doctors and staff being very courteous and accomodating. They have clean and hygenic rooms for all types of patients and state of the art operation theatres for various specialties. I have personally known dr. Prajakta jagtap for over 15 years now and you won't find a more capable compassionate and ethical doctor to treat you. The jagtap family have catered to the community by providing excellent healthcare for over 40 years now. The hospital lists in oas one of the best in the city with the top radiologist in the city working there. It's a family run hospital of the highest standard. 
5 stars,"Dr. Rajeev jagtap has been our family physician for over 35 years.He is an expert in everything.Best family doctor ever. We are treated like family. You are not just a number. Amazing staff, they do anything and everything to help you and get you the best care. I'm very thankful to the doctor. "
>>>>>>> dadef325638232dc406ca53b7d8b40f838d2a09f
5 stars,"Hello,
Myself Kiran R. Kulkarni was admitted for acute sciatica pain. The treatment by the expert doctors helped me fast recovery. Thanks to Dr. Punarvasu Jagtap & Dr. Soman for accurate consultancy. Special thanks to Dr. Rajiv Jagtap sir for your expert advices, you always feel us very comfortable. Also special thanks to admin.team for the prompt support. All the staff is so supportive and always available for your help. The association with this hospital us since last 30 years, the best hospital and the best team at sinhgad road.

Thanks and Regards,
<<<<<<< HEAD
Kiran R. Kulkarni. "
=======
Kiran R. Kulkarni. "
>>>>>>> dadef325638232dc406ca53b7d8b40f838d2a09f
1 star,"Worst ever customer Experience,Have wasted my 2 hrs there for vaccination on morning ,they told me once 10 people will available then only we will provide the Dose and told us to share your number so that we can give you a call ,however no call happens , finally I had called to them and they told please come .again 1 hr spent while my turn came ,they told sir we need again 10 person for vaccination .being in to hospitality is it the the way to treat the customer?

If vaccine is not available then you people could have told us upfront so that I could manage to go some other Hospital.

<<<<<<< HEAD
Zero Customer Centric approach towards customer . "
5 stars,Nice service taking care. Better staff and best work 
5 stars,"I was treated by Dr. Punarvasu (ortho), with explanation and personal attention. The hospital takes extra precautions during covid times. It is hygienic and clean. All the staff are very courteous.

Dr. R.Jagtap, a very senior and experienced doctor has exceptionally good diagnosis and remedy as per my experience as an OPD patient earlier. "
5 stars,Dr. Punarvasu after physical examination a
