ne here. The whole process was very well managed and the staff was very helpful. It was a great and extremely safe experience. 
1 star,"Unprofessional doctors, advices lot of tests that are not necessary and not even required at all. They will tell to get admit even for normal vomiting and fever.   More"
1 star,Pathology lab technician are very unprofessional and untrained. Please avoid if possible. The gynaec Dr. was good but the nurses were all the time besides the doctor speaking other matters.   More
1 star,I will not give a single star also to this hospital. Very pathetic and unprofessional staff. overpriced as the services offered. Doctors are good but hospital service is very very poor. 
5 stars,Got my first jab at Mai today. Satisfied with the socially distanced vaccination centre. Extremely supportive and helpful staff. Onwards and upwards! 
1 star,It's really very bad and unprofessional.. I went their with my 5 year old son. it took hell lot of time to get the token first. Then when I went to the doctor he was on round. Took more than an hour to get to the doctor. N my son was very unwell. It was an emergency but there was no one to respond 
5 stars,Its a note of appreciation to all medico and non-medico staff at Mai Mangeshkar Hospital. You all are doing commendable job. Your commitment towards your duty is exemplary. Dhanyawaad!! 
5 stars,"Vaccinated for Covid here at the hospital...
Great, simple, to the point process, without any hassles and wait....
Only problem was that all the instructions being it written or verbal was in local language which caused some problems... "
5 stars,"Best service provide for covid-19  covishild vaccine. Extremely hygienic vaccination center, co-operative staff & good doctors. "
5 stars,My vaccination experience at Mai Mangeshkar Hospital is very satisfying. The center is clean and staff is very polite and helpful. 
5 stars,"Very caring doctors and staff. Admission process, billing, was simple and supportive.
Canteen facility is up expectation. Hygiene and covid care facility is excellent. "
4 stars,"We were searching bed for my younger brother Fortunately we got bed in Mai Mangeshkar. They took good care. God Grace he got discharged.
Thank you team MMH "
5 stars,Appreciate the systematic and disciplined execution of vaccination program at Mai Mangeshkar Hospital. Medical and support staff was very cooperative and helpful. Thank you!! 
5 stars,The process of vaccination was carried out with utter precautions and following all safety measures. Stuff is really polite and helpful. 
1 star,Hi..I am Pramod Kumar Yadav..my self admitted at mai Mangeshkar hospital on 18.06.2018 for high WBC cell count which was 27700 .. yesterday when hospital do blood test then it's was 32000 ..i am continually ask to dr about my treatment but   More
1 star,They don't have physician at my time so other dr. Treated me for cold and fever and she was not physician and charged me 200 without checking properly. Don't know why these big hospitals charged more may be they have huge infrastructure that's why. 
