Rating,Review
5 stars,"Very few genuine doctors nowadays and Dr Asha Hol is one of them. Doctor is soft spoken, no non-sense and knowledgeable. Would recommend to all "
5 stars,Shreeyash multi-speciality hospital one of the best hospital in kirkatwadi...
5 stars,Shreeyash Multi-specialty Hospital provides most of the medical facilities under one roof. All Doctors and medical staff in hospital is cooperative and provides personal attention to all patients . 
5 stars,"I delivered a baby angel in this hospital. Hospital was so good and all staff also so caring and kind. My experience with Dr. Hol sir was very nice. He is so kind, caring and also clears your all doubts. Thanks to Hol sir. "
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
4 stars,None
5 stars,None
