ne payments
2. Try and book early slot - I was booked for 10-11am but even at 11.20am they were not done with half of 10-11am slot people.
3. Or may be come in the last slot post lunch to avoid the morning chaos. They do not close until last person for the day is vaccinated. "
5 stars,"Well organized vaccination drive. Kudos to the Symbiosis team for such good management. The process is very seamless. You just need to take your identity card and appointment slip, and everything is taken care.
There are many volunteers who guide you in the process. All the social norms are followed at every step. "
5 stars,Thank you for your service and support. I would like to thank each and every staff of general hospital OPD. They are very supportive and very nice management. 
1 star,"Lack of practical knowledge...
Need to improve behavioural manners...
No time importance...

I don't suggest to ge there for any treatment, as they do trial and error on petient due to lack of clarity of disease. Doctors are not likely to speak to get complete history before going ahead for treatment. "
5 stars,Great and huge campus. Very well maintained. The location is quite scenic too. 
5 stars,""" On the date of 14/02/2023 Registered my mother opd card after examine by Dr. Yash Khanwilkar Sir & send to ICU Dept. due to Loss of Appetite & Low BP, treatment is started immediately. BP is stable after the treatment & shift to the ward for admission . Received the excellent services for my mother , Now my mother is stable & fine. Specially thanks for Dr. Yash Khanwilkar Sir, Dr. Satyanand Kadloor Sir, Dr. Sonkia Madam, Dr. Sanjay Sir , Staff Nurse & SUHRC Staff. Thank you so much once again...."" "
5 stars,Vaccination drive is managed very nicely good seat out and managed token wise.i had been on 28th May with my son who was going to get his 18+ dose 1 .we had appointment at 12 to 4.30pm slot we reached at 11.45 am had to fill form given by volenter then token number is alloted our number was 63 by 12.15 PM our number came which was announced and by 12.40pm my son got his first jab.then 30 min you have seat in waitingroom after jab.they give print out of dose 1 taken and medince to. 
1 star,"My review is based on my experience for the COVID vaccination on 22-05-2020.

My slot was between 11am - 12pm. I reached the hospital at 10:30 and as soon as I reached the entrance, I was asked to park outside the Campus. That means walking all the way inside from the turning outside the gate. Considering how huge the Campus is, I was surprised to see all the open parking places inside the campus and they still did not allow people to park inside after a certain time. What if someone has problems to walk/ any side effects after the vaccination slot ?

As soon as I reached, I was surprised to see a 1 KM line inside from the hospital entrance all the way to the backside of the hospital. There was no proper information about why people were in line or what was happening with the vaccination. Total Mismanagement. At 11:05 we were informed that 9-10am slot vaccinations are still happening. That meant that after 9-10, 10-11 would begin. Someone told us to collect the forms from the gate and there was no point standing in line. Everyone left the line and rushed to collect the forms. Forms were distributed only to 10-11, so again we had to wait there without any proper information.

I left the campus to go home for lunch considering I was in the 11-12 slot, but my friend who was there for 10-11 informed me that he was in line. I reached at almost 2:30 and was surprised to see that 10-11 slots were still being given. He was still in Line.

Finally at 4:30 there was some proper management and they started calling people as per token system for 11-12 slots. My slot came at 6:30 almost 6 hours after the scheduled slot. I reached home at 7:30 PM
So disappointing considering it was Symbiosis.

Apparently, there were 4500 slots dedicated for vaccination and only 5 counters to process everyone. No proper management, people having to wait without food. No Social Distancing. Only Disappointment. I'm surprised they were allowed to process so many slots. They could have had 2/3 centers across the campus to process so many people They could have had sign boards to explain everything. It's unfair to the people and to the staff. Also, considering we are paying Rs. 850 now, I'm sure Crocin could have been given for free atleast. Other centers are ensuring people leave in less than 3 hours max.

I'd advice to wait for some other slots rather than go here for the vaccination. Request the GOM to ensure that such vaccination centers are looked into. No need to slot so many people together please. What if someone in the 4000  people present would have been positive for Covid "
5 stars,The hospital is very clean and the Hospital staff and doctors are very good. Here I had no idea I was a covid-19 patient. I am thankful to all the staff and doctors in the hospital 
5 stars,"Please be there on the time mentioned in the appointment sheet its under the preferred time slot, I reached at 9 am whereas my preferred time was between 12-4:30 pm. Very well managed no queuing reach the security lady in the counter she would give you a pink form to be filled, fill in your reg no( number received in SMS), ID number (Pan , Adhar etc) , your Name , address. Pen provided but its always good to carry your own, the form stays with you and there is a token number written manually on the top right which when announced you know its your turn and then you need to proceed inside till then sit back relax and enjoy the weather and the relaxing yoga provided by the executive there on the spot!

The moment you enter show your appointment details, Photo ID and payment INR 850 carry change saves time ! Get the receipt head towards the OPD get the jab and submit the receipt to lady at the desk for your certificate (printed copy provided on the spot) and also you get the electronic copy updated in the COwin profile after few minutes,  medicines after the dose is option available on payment. You are required to wait for 30 mins in the observation area and thereafter you are free to go and yeah dont forget to get clicked !!!!! Jab done right say cheezzzz!!! "
1 star,"Worst experience in this hospital this is my second visit in the hospital...Dr are fine but the other staff is very rude with the patient they only make fool of us ... second time when I visited for lipoma treatment for my husband Dr suggested for some tests & the fun moment was we want for sonography the receptions staff said  you have been given appointment for next month just for sonography   so I do suggest not to visit this hospital  so you just this how many visits have to be done

Dd  you have been given appointment "
1 star,"I was admitted to this hospital,
They did several test for diagnosis,
But at the time of discharge ,  first they said thats all repost they have, later when i checked after reaching home,multiple highly critical test reports are missing, doctor is awaiting for those reports
When I spoke to administrative,  they are checking and checking. Don't know when I will get my reports. "
1 star,"Cheapest hospital ever .....cheap security services ...no sence of talking with people they change their norm each n every second...people coming from Mumbai n don't have any rooms to stay r been treated in such a mannerless manner...slow service even a tortoise is faster then them ... uneducated non staff r been kept here .,,....not recommended will b posting on twitter soon "
5 stars,Arrangement for vaccination is very well organize and service is very good. 
5 stars,Best vaccine arrangement and duly helpful and trained staff. Keep the good work up.. God bless u all... n a big thanks to hardworking staff... 
4 stars,I can't believe symbiosis is best excellent hospital because it is clean and it provides many services free of cast and 8n less Money test 
5 stars,SUHRC medical facilities are really excellent. Staff is very cooperative. Special thanks to the nurses who does their job very great man by BVG workers..
all staff members are supporting..
located out of city.. next to sus gaon and near Sunny World..
travel : bike, car, PMT bus, auto, ola, uber "
5 stars,"The staff is very good. They always corporate with us, they give nice services to patient. I will recommend other patient to come here and take treatment . Doctors are very good.  Thanks for helping us lot. "
5 stars,"An excellent customer experience. Streamlined token allocation that ensures no crowding or pushing. Excellent management of people flow, lots of payment counters for quick processing. Didn't have to wait for more than 10 min at any point except after the shot

BUT, there's always a but.
1. Total lack of signage for the location of Vax on internal roads. Please put prominent and different format signs for directions
2. Must advise that  certificate of 1st dose is required soft or hard copy. Not everyone may have ability to download it last minute
2. Only cotton swab was provided to cover the injected area,  a small piece of tape must also be put over the cotton swab to hold it in place "
1 star,"Third class service, no any doctor or nurses or staff are care patient. ICU 90% patient are Expired. "
